[tok] class=PreTrainedTokenizerFast fast=True src=tokenizer.json
[info] minority classes per head (from TRAIN): [[1, 5], [1, 5], [1, 5]]
>> Grad checkpointing: False
[epoch 1] step 2/44: loss=0.9370 
[epoch 1] step 4/44: loss=0.9421 
[epoch 1] step 6/44: loss=0.9323 
[epoch 1] step 8/44: loss=0.9222 
[epoch 1] step 10/44: loss=0.9321 
[epoch 1] step 12/44: loss=0.9332 
[epoch 1] step 14/44: loss=0.9301 
[epoch 1] step 16/44: loss=0.9313 
[epoch 1] step 18/44: loss=0.9349 
[epoch 1] step 20/44: loss=0.9377 
[epoch 1] step 22/44: loss=0.9368 
[epoch 1] step 24/44: loss=0.9370 
[epoch 1] step 26/44: loss=0.9367 
[epoch 1] step 28/44: loss=0.9343 
[epoch 1] step 30/44: loss=0.9313 
[epoch 1] step 32/44: loss=0.9294 
[epoch 1] step 34/44: loss=0.9271 
[epoch 1] step 36/44: loss=0.9258 
[epoch 1] step 38/44: loss=0.9220 
[epoch 1] step 40/44: loss=0.9174 
[epoch 1] step 42/44: loss=0.9123 
[epoch 1] step 44/44: loss=0.9054 
[epoch 1] val_loss=1.6576 qwk=('-0.1889', '-0.0881', '0.2222') averageQWK=-0.0183 macroEMD=0.3940 tailR0=('0.0000', '0.0000', '0.3333') tailR0avg=0.1111
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    0    8    0
     0   18    0   22    0
     0   51    7   70    0
     0   68   13   41    0
     0   12    8    7    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    6    0    0
    14    0   28    6    0
    51    0   44   18    0
    78    0   45   25    0
     5    0    5    0    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    1    0    0
     0    7   61    0    3
     0    7  128    1   15
     0    1   77    7   14
     0    0    1    0    2
[epoch 2] step 2/44: loss=0.8229 
[epoch 2] step 4/44: loss=0.7974 
[epoch 2] step 6/44: loss=0.7804 
[epoch 2] step 8/44: loss=0.7694 
[epoch 2] step 10/44: loss=0.7626 
[epoch 2] step 12/44: loss=0.7551 
[epoch 2] step 14/44: loss=0.7417 
[epoch 2] step 16/44: loss=0.7315 
[epoch 2] step 18/44: loss=0.7197 
[epoch 2] step 20/44: loss=0.7125 
[epoch 2] step 22/44: loss=0.7083 
[epoch 2] step 24/44: loss=0.7040 
[epoch 2] step 26/44: loss=0.6987 
[epoch 2] step 28/44: loss=0.6932 
[epoch 2] step 30/44: loss=0.6910 
[epoch 2] step 32/44: loss=0.6903 
[epoch 2] step 34/44: loss=0.6880 
[epoch 2] step 36/44: loss=0.6838 
[epoch 2] step 38/44: loss=0.6821 
[epoch 2] step 40/44: loss=0.6777 
[epoch 2] step 42/44: loss=0.6768 
[epoch 2] step 44/44: loss=0.6728 
[epoch 2] val_loss=1.1688 qwk=('0.0340', '0.4098', '0.3826') averageQWK=0.2755 macroEMD=0.3233 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    8    0    0
     0    0   40    0    0
     0    0  127    1    0
     0    0  121    1    0
     0    0   24    3    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    6    0    0
     0    0   46    2    0
     0    0   86   27    0
     0    0   63   85    0
     0    0    0   10    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    1    0    0
     0    6   64    1    0
     0    0  136   15    0
     0    0   54   45    0
     0    0    2    1    0
[epoch 3] step 2/44: loss=0.6285 
[epoch 3] step 4/44: loss=0.6295 
[epoch 3] step 6/44: loss=0.6296 
[epoch 3] step 8/44: loss=0.6186 
[epoch 3] step 10/44: loss=0.6102 
[epoch 3] step 12/44: loss=0.6145 
[epoch 3] step 14/44: loss=0.6171 
[epoch 3] step 16/44: loss=0.6160 
[epoch 3] step 18/44: loss=0.6102 
[epoch 3] step 20/44: loss=0.6064 
[epoch 3] step 22/44: loss=0.5975 
[epoch 3] step 24/44: loss=0.6024 
[epoch 3] step 26/44: loss=0.5984 
[epoch 3] step 28/44: loss=0.5949 
[epoch 3] step 30/44: loss=0.5913 
[epoch 3] step 32/44: loss=0.5885 
[epoch 3] step 34/44: loss=0.5854 
[epoch 3] step 36/44: loss=0.5819 
[epoch 3] step 38/44: loss=0.5799 
[epoch 3] step 40/44: loss=0.5768 
[epoch 3] step 42/44: loss=0.5727 
[epoch 3] step 44/44: loss=0.5686 
[epoch 3] val_loss=1.1301 qwk=('0.4658', '0.3551', '0.3701') averageQWK=0.3970 macroEMD=0.2630 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    6    2    0    0
     0    8   32    0    0
     0    4  109   15    0
     0    1   79   42    0
     0    0    5   22    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    6    0    0
     0    0   46    2    0
     0    0   98   15    0
     0    0   79   69    0
     0    0    2    8    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    0    0    0
     0   31   40    0    0
     0   26  121    4    0
     0    2   86   11    0
     0    0    1    2    0
[epoch 4] step 2/44: loss=0.5530 
[epoch 4] step 4/44: loss=0.5323 
[epoch 4] step 6/44: loss=0.5201 
[epoch 4] step 8/44: loss=0.5218 
[epoch 4] step 10/44: loss=0.5068 
[epoch 4] step 12/44: loss=0.5098 
[epoch 4] step 14/44: loss=0.5077 
[epoch 4] step 16/44: loss=0.5019 
[epoch 4] step 18/44: loss=0.5080 
[epoch 4] step 20/44: loss=0.5133 
[epoch 4] step 22/44: loss=0.5102 
[epoch 4] step 24/44: loss=0.5149 
[epoch 4] step 26/44: loss=0.5192 
[epoch 4] step 28/44: loss=0.5175 
[epoch 4] step 30/44: loss=0.5157 
[epoch 4] step 32/44: loss=0.5141 
[epoch 4] step 34/44: loss=0.5121 
[epoch 4] step 36/44: loss=0.5134 
[epoch 4] step 38/44: loss=0.5102 
[epoch 4] step 40/44: loss=0.5083 
[epoch 4] step 42/44: loss=0.5051 
[epoch 4] step 44/44: loss=0.5024 
[epoch 4] val_loss=1.0752 qwk=('0.4843', '0.5162', '0.5603') averageQWK=0.5203 macroEMD=0.2432 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    6    2    0    0
     0    9   30    1    0
     0    3  110   15    0
     0    0   67   55    0
     0    0    8   19    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    6    0    0    0
     0   20   28    0    0
     0   19   80   14    0
     0    5   80   63    0
     0    0    1    9    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    0    0    0
     0   30   41    0    0
     0   16  125   10    0
     0    0   53   46    0
     0    0    1    2    0
[epoch 5] step 2/44: loss=0.4566 
[epoch 5] step 4/44: loss=0.4494 
[epoch 5] step 6/44: loss=0.4589 
[epoch 5] step 8/44: loss=0.4597 
[epoch 5] step 10/44: loss=0.4608 
[epoch 5] step 12/44: loss=0.4585 
[epoch 5] step 14/44: loss=0.4643 
[epoch 5] step 16/44: loss=0.4661 
[epoch 5] step 18/44: loss=0.4690 
[epoch 5] step 20/44: loss=0.4689 
[epoch 5] step 22/44: loss=0.4731 
[epoch 5] step 24/44: loss=0.4835 
[epoch 5] step 26/44: loss=0.4781 
[epoch 5] step 28/44: loss=0.4793 
[epoch 5] step 30/44: loss=0.4802 
[epoch 5] step 32/44: loss=0.4827 
[epoch 5] step 34/44: loss=0.4825 
[epoch 5] step 36/44: loss=0.4803 
[epoch 5] step 38/44: loss=0.4788 
[epoch 5] step 40/44: loss=0.4748 
[epoch 5] step 42/44: loss=0.4743 
[epoch 5] step 44/44: loss=0.4752 
[epoch 5] val_loss=0.9932 qwk=('0.5436', '0.5325', '0.5847') averageQWK=0.5536 macroEMD=0.2250 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    6    2    0    0
     0   11   27    2    0
     0    5  102   21    0
     0    0   52   70    0
     0    0    5   22    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    6    0    0    0
     0   19   23    6    0
     0   14   75   24    0
     0    3   58   87    0
     0    0    1    9    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    0    0    0
     0   24   47    0    0
     0    4  136   11    0
     0    0   45   54    0
     0    0    1    2    0
[epoch 6] step 2/44: loss=0.4053 
[epoch 6] step 4/44: loss=0.3860 
[epoch 6] step 6/44: loss=0.4150 
[epoch 6] step 8/44: loss=0.4133 
[epoch 6] step 10/44: loss=0.4114 
[epoch 6] step 12/44: loss=0.4077 
[epoch 6] step 14/44: loss=0.4168 
[epoch 6] step 16/44: loss=0.4178 
[epoch 6] step 18/44: loss=0.4198 
[epoch 6] step 20/44: loss=0.4181 
[epoch 6] step 22/44: loss=0.4204 
[epoch 6] step 24/44: loss=0.4217 
[epoch 6] step 26/44: loss=0.4240 
[epoch 6] step 28/44: loss=0.4251 
[epoch 6] step 30/44: loss=0.4215 
[epoch 6] step 32/44: loss=0.4203 
[epoch 6] step 34/44: loss=0.4213 
[epoch 6] step 36/44: loss=0.4252 
[epoch 6] step 38/44: loss=0.4274 
[epoch 6] step 40/44: loss=0.4262 
[epoch 6] step 42/44: loss=0.4278 
[epoch 6] step 44/44: loss=0.4264 
[epoch 6] val_loss=1.0461 qwk=('0.5685', '0.5393', '0.6183') averageQWK=0.5754 macroEMD=0.2170 tailR0=('0.0556', '0.0000', '0.0000') tailR0avg=0.0185
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    6    2    0    0
     0   20   17    3    0
     0   30   75   22    1
     0    6   39   75    2
     0    0    3   21    3
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    6    0    0    0
     0   27   16    5    0
     0   32   58   23    0
     0    9   50   89    0
     0    0    1    9    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    0    0    0
     0   49   22    0    0
     0   44   86   21    0
     0    2   38   59    0
     0    0    1    2    0
[epoch 7] step 2/44: loss=0.4006 
[epoch 7] step 4/44: loss=0.3898 
[epoch 7] step 6/44: loss=0.3918 
[epoch 7] step 8/44: loss=0.3981 
[epoch 7] step 10/44: loss=0.3918 
[epoch 7] step 12/44: loss=0.3860 
[epoch 7] step 14/44: loss=0.3848 
[epoch 7] step 16/44: loss=0.3839 
[epoch 7] step 18/44: loss=0.3908 
[epoch 7] step 20/44: loss=0.3883 
[epoch 7] step 22/44: loss=0.3861 
[epoch 7] step 24/44: loss=0.3834 
[epoch 7] step 26/44: loss=0.3820 
[epoch 7] step 28/44: loss=0.3808 
[epoch 7] step 30/44: loss=0.3833 
[epoch 7] step 32/44: loss=0.3818 
[epoch 7] step 34/44: loss=0.3812 
[epoch 7] step 36/44: loss=0.3822 
[epoch 7] step 38/44: loss=0.3829 
[epoch 7] step 40/44: loss=0.3833 
[epoch 7] step 42/44: loss=0.3851 
[epoch 7] step 44/44: loss=0.3829 
[epoch 7] val_loss=1.0803 qwk=('0.5271', '0.5124', '0.5749') averageQWK=0.5381 macroEMD=0.2136 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    6    2    0    0
     0   13   25    2    0
     0   12   97   19    0
     0    1   61   60    0
     0    0    4   23    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    6    0    0    0
     0   15   28    5    0
     0   10   80   23    0
     0    3   62   83    0
     0    0    1    9    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    0    0    0
     0   47   24    0    0
     0   45   95   11    0
     0    1   55   43    0
     0    0    1    2    0
[epoch 8] step 2/44: loss=0.3695 
[epoch 8] step 4/44: loss=0.3455 
[epoch 8] step 6/44: loss=0.3294 
[epoch 8] step 8/44: loss=0.3356 
[epoch 8] step 10/44: loss=0.3332 
[epoch 8] step 12/44: loss=0.3332 
[epoch 8] step 14/44: loss=0.3449 
[epoch 8] step 16/44: loss=0.3510 
[epoch 8] step 18/44: loss=0.3553 
[epoch 8] step 20/44: loss=0.3522 
[epoch 8] step 22/44: loss=0.3534 
[epoch 8] step 24/44: loss=0.3521 
[epoch 8] step 26/44: loss=0.3542 
[epoch 8] step 28/44: loss=0.3501 
[epoch 8] step 30/44: loss=0.3487 
[epoch 8] step 32/44: loss=0.3483 
[epoch 8] step 34/44: loss=0.3477 
[epoch 8] step 36/44: loss=0.3480 
[epoch 8] step 38/44: loss=0.3480 
[epoch 8] step 40/44: loss=0.3466 
[epoch 8] step 42/44: loss=0.3485 
[epoch 8] step 44/44: loss=0.3490 
[epoch 8] val_loss=1.1198 qwk=('0.5325', '0.4910', '0.5314') averageQWK=0.5183 macroEMD=0.2122 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    6    2    0    0
     0   12   25    3    0
     0   13   94   21    0
     0    1   56   65    0
     0    0    3   24    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    6    0    0    0
     0    9   35    4    0
     0    8   84   21    0
     0    2   66   80    0
     0    0    1    9    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    0    0    0
     0   52   19    0    0
     0   52   89   10    0
     0    4   59   36    0
     0    0    2    1    0
[epoch 9] step 2/44: loss=0.3270 
[epoch 9] step 4/44: loss=0.3260 
[epoch 9] step 6/44: loss=0.3243 
[epoch 9] step 8/44: loss=0.3361 
[epoch 9] step 10/44: loss=0.3572 
[epoch 9] step 12/44: loss=0.3447 
[epoch 9] step 14/44: loss=0.3388 
[epoch 9] step 16/44: loss=0.3411 
[epoch 9] step 18/44: loss=0.3419 
[epoch 9] step 20/44: loss=0.3387 
[epoch 9] step 22/44: loss=0.3356 
[epoch 9] step 24/44: loss=0.3303 
[epoch 9] step 26/44: loss=0.3343 
[epoch 9] step 28/44: loss=0.3311 
[epoch 9] step 30/44: loss=0.3273 
[epoch 9] step 32/44: loss=0.3247 
[epoch 9] step 34/44: loss=0.3223 
[epoch 9] step 36/44: loss=0.3205 
[epoch 9] step 38/44: loss=0.3188 
[epoch 9] step 40/44: loss=0.3157 
[epoch 9] step 42/44: loss=0.3152 
[epoch 9] step 44/44: loss=0.3121 
[epoch 9] val_loss=1.1483 qwk=('0.4874', '0.4941', '0.5427') averageQWK=0.5081 macroEMD=0.2067 tailR0=('0.0185', '0.0000', '0.0000') tailR0avg=0.0062
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    5    3    0    0
     0    4   30    6    0
     0    4   89   35    0
     0    0   42   80    0
     0    0    3   23    1
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    6    0    0    0
     0    6   34    8    0
     0    4   67   42    0
     0    0   42  106    0
     0    0    1    9    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    0    0    0
     0   22   46    3    0
     0    7  117   27    0
     0    0   37   62    0
     0    0    1    2    0
[epoch 10] step 2/44: loss=0.2907 
[epoch 10] step 4/44: loss=0.3076 
[epoch 10] step 6/44: loss=0.3041 
[epoch 10] step 8/44: loss=0.2940 
[epoch 10] step 10/44: loss=0.2953 
[epoch 10] step 12/44: loss=0.3025 
[epoch 10] step 14/44: loss=0.3017 
[epoch 10] step 16/44: loss=0.2932 
[epoch 10] step 18/44: loss=0.2913 
[epoch 10] step 20/44: loss=0.2918 
[epoch 10] step 22/44: loss=0.2881 
[epoch 10] step 24/44: loss=0.2896 
[epoch 10] step 26/44: loss=0.2865 
[epoch 10] step 28/44: loss=0.2862 
[epoch 10] step 30/44: loss=0.2874 
[epoch 10] step 32/44: loss=0.2862 
[epoch 10] step 34/44: loss=0.2844 
[epoch 10] step 36/44: loss=0.2843 
[epoch 10] step 38/44: loss=0.2853 
[epoch 10] step 40/44: loss=0.2839 
[epoch 10] step 42/44: loss=0.2806 
[epoch 10] step 44/44: loss=0.2799 
[epoch 10] val_loss=1.2207 qwk=('0.4944', '0.4926', '0.5333') averageQWK=0.5068 macroEMD=0.2004 tailR0=('0.0185', '0.0000', '0.0000') tailR0avg=0.0062
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    5    3    0    0
     0    3   33    4    0
     0    3   83   41    1
     0    0   39   83    0
     0    0    2   24    1
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    5    1    0    0
     0    3   36    9    0
     0    4   66   43    0
     0    0   34  114    0
     0    0    0   10    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    0    0    0
     0   31   32    8    0
     0   18   81   52    0
     0    1   22   76    0
     0    0    1    2    0
[epoch 11] step 2/44: loss=0.2847 
[epoch 11] step 4/44: loss=0.2668 
[epoch 11] step 6/44: loss=0.2610 
[epoch 11] step 8/44: loss=0.2569 
[epoch 11] step 10/44: loss=0.2574 
[epoch 11] step 12/44: loss=0.2561 
[epoch 11] step 14/44: loss=0.2489 
[epoch 11] step 16/44: loss=0.2474 
[epoch 11] step 18/44: loss=0.2560 
[epoch 11] step 20/44: loss=0.2512 
[epoch 11] step 22/44: loss=0.2479 
[epoch 11] step 24/44: loss=0.2476 
[epoch 11] step 26/44: loss=0.2513 
[epoch 11] step 28/44: loss=0.2482 
[epoch 11] step 30/44: loss=0.2483 
[epoch 11] step 32/44: loss=0.2480 
[epoch 11] step 34/44: loss=0.2476 
[epoch 11] step 36/44: loss=0.2459 
