[tok] class=PreTrainedTokenizerFast fast=True src=tokenizer.json
[info] minority classes per head (from TRAIN): [[1, 5], [1, 5], [1, 5]]
>> Grad checkpointing: False
[epoch 1] step 2/44: loss=0.9613 
[epoch 1] step 4/44: loss=0.9638 
[epoch 1] step 6/44: loss=0.9482 
[epoch 1] step 8/44: loss=0.9524 
[epoch 1] step 10/44: loss=0.9474 
[epoch 1] step 12/44: loss=0.9485 
[epoch 1] step 14/44: loss=0.9468 
[epoch 1] step 16/44: loss=0.9422 
[epoch 1] step 18/44: loss=0.9371 
[epoch 1] step 20/44: loss=0.9357 
[epoch 1] step 22/44: loss=0.9348 
[epoch 1] step 24/44: loss=0.9328 
[epoch 1] step 26/44: loss=0.9318 
[epoch 1] step 28/44: loss=0.9305 
[epoch 1] step 30/44: loss=0.9289 
[epoch 1] step 32/44: loss=0.9266 
[epoch 1] step 34/44: loss=0.9243 
[epoch 1] step 36/44: loss=0.9198 
[epoch 1] step 38/44: loss=0.9130 
[epoch 1] step 40/44: loss=0.9067 
[epoch 1] step 42/44: loss=0.9009 
[epoch 1] step 44/44: loss=0.8962 
[epoch 1] val_loss=1.4859 qwk=('0.0864', '0.0977', '0.1215') averageQWK=0.1019 macroEMD=0.3724 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    0   10    0
     0   18    0   37    0
     0   47    1   77    0
     0   26    2   88    0
     0    2    0   21    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    6    3    0
    15    0   18   20    0
    40    0   31   51    0
    31    0   25   77    0
     1    0    1   10    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    4    0    0
     0   17   52    0    0
     0   19  129    1    3
     0   11   83    6    2
     0    1    1    0    0
[epoch 2] step 2/44: loss=0.7276 
[epoch 2] step 4/44: loss=0.7126 
[epoch 2] step 6/44: loss=0.7146 
[epoch 2] step 8/44: loss=0.7054 
[epoch 2] step 10/44: loss=0.6971 
[epoch 2] step 12/44: loss=0.6926 
[epoch 2] step 14/44: loss=0.6882 
[epoch 2] step 16/44: loss=0.6871 
[epoch 2] step 18/44: loss=0.6842 
[epoch 2] step 20/44: loss=0.6771 
[epoch 2] step 22/44: loss=0.6702 
[epoch 2] step 24/44: loss=0.6640 
[epoch 2] step 26/44: loss=0.6615 
[epoch 2] step 28/44: loss=0.6630 
[epoch 2] step 30/44: loss=0.6594 
[epoch 2] step 32/44: loss=0.6571 
[epoch 2] step 34/44: loss=0.6536 
[epoch 2] step 36/44: loss=0.6508 
[epoch 2] step 38/44: loss=0.6522 
[epoch 2] step 40/44: loss=0.6478 
[epoch 2] step 42/44: loss=0.6446 
[epoch 2] step 44/44: loss=0.6437 
[epoch 2] val_loss=1.1807 qwk=('0.2215', '0.1811', '0.3850') averageQWK=0.2625 macroEMD=0.3126 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    6    4    0
     0    0   26   29    0
     0    0   19  106    0
     0    0    5  111    0
     0    0    0   23    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    4    5    0
     0    0   22   31    0
     0    0    7  115    0
     0    0    2  131    0
     0    0    0   12    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    4    0    0
     0    0   57   12    0
     0    0   88   64    0
     0    0   16   86    0
     0    0    0    2    0
[epoch 3] step 2/44: loss=0.5963 
[epoch 3] step 4/44: loss=0.5829 
[epoch 3] step 6/44: loss=0.5640 
[epoch 3] step 8/44: loss=0.5648 
[epoch 3] step 10/44: loss=0.5760 
[epoch 3] step 12/44: loss=0.5748 
[epoch 3] step 14/44: loss=0.5694 
[epoch 3] step 16/44: loss=0.5710 
[epoch 3] step 18/44: loss=0.5704 
[epoch 3] step 20/44: loss=0.5665 
[epoch 3] step 22/44: loss=0.5590 
[epoch 3] step 24/44: loss=0.5519 
[epoch 3] step 26/44: loss=0.5558 
[epoch 3] step 28/44: loss=0.5541 
[epoch 3] step 30/44: loss=0.5527 
[epoch 3] step 32/44: loss=0.5530 
[epoch 3] step 34/44: loss=0.5504 
[epoch 3] step 36/44: loss=0.5457 
[epoch 3] step 38/44: loss=0.5463 
[epoch 3] step 40/44: loss=0.5459 
[epoch 3] step 42/44: loss=0.5443 
[epoch 3] step 44/44: loss=0.5422 
[epoch 3] val_loss=1.0445 qwk=('0.4342', '0.3920', '0.3520') averageQWK=0.3928 macroEMD=0.2622 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    4    6    0    0
     0    3   50    2    0
     0    0  112   13    0
     0    0   53   63    0
     0    0    9   14    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    8    1    0
     0    0   52    1    0
     0    0  109   13    0
     0    0   61   72    0
     0    0    3    9    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    3    0    0
     0    7   62    0    0
     0    2  140   10    0
